timestamp,symbol,timeframe,index,f_body_size_pct,f_upper_wick_pct,f_lower_wick_pct,f_range_pct,f_close_position_in_range,f_bullish_candle,f_bearish_candle,f_ema20_distance_pct,f_ema20_slope,f_ema50_distance_pct,f_ema50_slope,f_ema100_distance_pct,f_ema100_slope,f_ema200_distance_pct,f_ema200_slope,f_ema20_vs_50,f_ema50_vs_100,f_ema100_vs_200,f_ema_alignment,f_rsi,f_rsi_distance_from_50,f_macd,f_macd_signal,f_macd_histogram,f_macd_histogram_slope,f_adx,f_atr,f_atr_pct,f_bb_position,f_bb_width,f_atr_percentile,f_structure_bias,f_last_bos_direction,f_last_bos_age,f_last_choch_direction,f_last_choch_age,f_bullish_fvg_present,f_bearish_fvg_present,f_nearest_bullish_fvg_distance_pct,f_nearest_bearish_fvg_distance_pct,f_bullish_ob_present,f_bearish_ob_present,f_nearest_bullish_ob_distance_pct,f_nearest_bearish_ob_distance_pct,f_demand_present,f_supply_present,f_buy_side_liquidity_distance_pct,f_sell_side_liquidity_distance_pct,f_liquidity_sweep_direction,f_liquidity_sweep_age,f_premium_discount_state,f_distance_from_equilibrium_pct,f_htf_1d_bias,f_htf_4h_bias,f_htf_1h_bias,f_htf_30m_bias,f_entry_15m_bias,f_mtf_alignment_score,f_higher_timeframe_bias,f_setup_bias,f_entry_bias,f_market_state_code,f_strategy_score,f_strategy_direction,f_strategy_state_code,f_cond_htf_alignment,f_cond_structure_confirmation,f_cond_liquidity_confirmation,f_cond_ob_confirmation,f_cond_fvg_confirmation,f_cond_entry_confirmation,f_rr_candidate,f_volatility_filter_state,f_hour_utc,f_day_of_week,f_day_of_month,f_month,y_return_5,y_return_10,y_return_20,y_return_40,y_direction,y_mfe_5,y_mae_5,y_mfe_10,y_mae_10,y_mfe_20,y_mae_20,y_mfe_40,y_mae_40,y_strategy_outcome,y_future_R,y_multiclass_outcome
2026-08-10T14:15:00+00:00,PAXGUSD,15m,80,0.34117891145483464,0.05993683579613095,0.03688420664377611,0.43799995389474167,0.8631578947368229,1,0,0.248218207315738,-0.8037858009056436,0.16305383340287932,-0.8329333031952046,,,,,-0.0008516437391285865,,,,56.967120988061296,6.967120988061296,-2.2616901153824074,-2.868651874595497,0.6069617592130898,0.938603916778729,27.24616027238219,8.837260972244799,0.20372209991573803,0.9701028397488397,0.005620030945218336,1.0,1,-1,2,1,0,0,1,,-0.07031051891470738,0,1,,-0.3872841697595863,0,1,-0.15445261532077315,-0.5440420479955614,1,1,1,0.4034210101662095,0,1,1,-1,-1,40,1,-1,-1,2,60,0,0,1,1,0,0,1,1,,0,14,0,10,8,0.0003918946955901998,0.0013831577491412897,0.00963599898568436,0.015491366790382613,NEUTRAL,0.0012678946033795155,0.0013831577491412897,0.0036653680352245433,0.0013831577491412897,0.009912630535512576,0.0013831577491412897,0.015998524631734377,0.0013831577491412897,NO_SETUP,,NO_SETUP
2026-08-10T14:45:00+00:00,PAXGUSD,15m,82,0.11764977277446687,0.03460287434542896,0.06920574869085792,0.22145839581075377,0.3124999999999882,0,1,0.13654154021808135,2.981934979304242,0.0823031560196364,0.7940511876304299,,,,,-0.0005423838419844494,,,,54.104871716486784,4.104871716486784,-0.337144410224937,-2.05706446627987,1.7199200560549328,2.3751474536009827,23.956500999414484,8.836209715864163,0.20383883632527078,0.7977748124190416,0.0061997194007987555,0.9857142857142858,1,1,1,1,2,1,1,0.12226348935383222,-0.3656370389167078,1,1,0.41984820872451295,-0.4567579413596875,1,1,-0.08535375671872057,-0.47521280767721186,1,3,1,0.3344944520058133,0,1,1,-1,-1,60,1,0,0,0,61,0,0,1,1,0,0,1,1,1.1925,0,14,0,10,8,0.002913562019885144,0.003114258691088607,0.00948118757064762,0.015340607626473508,UP,0.004359962167524175,0.0005536459895267795,0.004359962167524175,0.0005536459895267795,0.011349742785300867,0.0005536459895267795,0.017347574338508556,0.0005536459895267795,NO_SETUP,,NO_SETUP
2026-08-10T15:15:00+00:00,PAXGUSD,15m,84,0.03227219289551982,0.0760701689679646,0.020746409718531988,0.1290887715820164,0.4107142857143582,1,0,0.1748540791898284,2.1566406519923476,0.14522744335520238,0.6132706272592259,,,,,-0.0002962663583462602,,,,56.26309658173341,6.263096581733407,0.9052545463455317,-1.0876685143061613,1.992923060651693,0.466493483444115,21.22379473317727,8.615915520311408,0.198610348316346,0.8725513758977476,0.006663719055549615,0.9444444444444444,1,1,3,1,4,1,1,0.19593831400843684,-0.29160231437725354,1,1,0.4933035199741738,-0.3826560014753086,1,1,0.12217330167583208,-0.5486272792236274,1,5,1,0.26739816970563984,0,1,1,-1,-1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,1.1917,0,15,0,10,8,0.00013830939812347668,0.0019132800073763333,0.009381987506050994,0.01657407620847828,UP,0.0036190959175675563,0.0003457734953090062,0.0036190959175675563,0.0003457734953090062,0.010603720522809524,0.0003457734953090062,0.01687374657107946,0.0003457734953090062,NO_SETUP,,NO_SETUP
2026-08-10T15:45:00+00:00,PAXGUSD,15m,86,0.19778299066279045,0.01379881330206439,0.04599604434018675,0.2575778483050416,0.9464285714285381,1,0,0.3499876288460005,3.265640080202502,0.35562023154825356,1.1941802291612476,,,,,5.632602702253047e-05,,,,62.85420411691784,12.854204116917842,2.6167844072660955,0.06561207466265706,2.5511723326034383,0.6665115853602972,19.570127735837794,8.481070014962325,0.1950478362302177,1.043871578229603,0.008188151157680896,0.9324324324324325,1,1,0,1,6,1,1,0.42776321236372417,-0.058644956533742285,1,1,0.26447725495607377,-0.14948714410562783,1,1,-0.11039050641645239,-0.779632951566157,1,7,1,0.499057081091022,0,1,1,-1,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,4.7684,0,15,0,10,8,-0.000850926820293413,0.00087392484246359,0.007106388850558977,0.016420587829446793,NEUTRAL,0.0012878892415253125,0.0022998022170093372,0.0013108872636952804,0.0022998022170093372,0.008256289959063646,0.0022998022170093372,0.017524492893611108,0.0022998022170093372,NO_SETUP,,NO_SETUP
2026-08-10T16:15:00+00:00,PAXGUSD,15m,88,0.06435745971912984,0.039074171972322116,0.004596961408504795,0.10802859309995674,0.6382978723404502,1,0,0.3396495953121354,4.542938931866047,0.3838755495137835,1.8929514533701877,,,,,0.00044225954201648104,,,,64.14419794542457,14.144197945424565,4.257010525325313,1.440034709090308,2.816975816235005,0.7550257929631696,19.983585956246447,8.211126696574663,0.18873116272265758,0.9581752250139177,0.00974466135245986,0.8947368421052632,1,1,1,1,8,1,0,0.17813225457972282,,1,1,0.32178729859562827,-0.09193922817020042,1,1,-0.1677890914105818,-0.8366469763486253,1,9,1,0.5562323304295819,0,1,1,0,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,1.694,0,16,0,10,8,-0.0008504378605741187,0.003976371618360306,0.0069184269198060925,0.01574459282414324,UP,0.0002988024915531252,0.00287310088031811,0.004895763900062101,0.00287310088031811,0.007676925552210115,0.00287310088031811,0.01698577240444079,0.00287310088031811,NO_SETUP,,NO_SETUP
2026-08-10T16:45:00+00:00,PAXGUSD,15m,90,0.11970809641105502,0.0,0.006906236331411449,0.12661433274246647,1.0,1,0,0.16064154782962267,2.5545146358363127,0.21491872685682933,1.2471035907501573,,,,,0.0005427717902720666,,,,56.47789481430886,6.477894814308861,4.007935466160234,2.348768983728084,1.6591664824321497,-1.0215482390434483,17.287867306554062,8.31520618225059,0.19142259679667098,0.7566159240122755,0.010040480486291628,0.8974358974358975,1,1,3,1,10,1,1,0.32919726513039604,-0.04373949676557095,1,1,0.16574967195377008,-0.24862450793068655,1,1,-0.011510393885678769,-0.6814153180321705,1,11,1,0.28085361081053684,0,1,1,0,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,4.8179,0,16,0,10,8,0.0013121849029675472,0.00824144202214604,0.008149358871060695,0.01302976587858845,UP,0.0018646838094800442,0.0011510393885678768,0.00851769147540229,0.0011510393885678768,0.009254356684085897,0.0011510393885678768,0.0185777757314857,0.0011510393885678768,NO_SETUP,,NO_SETUP
2026-08-10T17:15:00+00:00,PAXGUSD,15m,92,0.08048937540244688,0.002299696440078277,0.032195750160970385,0.11498482200349555,0.9799999999999273,1,0,0.2238056784050937,2.480679781264371,0.2970957304019481,1.2979991239490118,,,,,0.0007329005199685439,,,,59.51477914914593,9.51477914914593,4.413572472381929,3.0398549247055184,1.373717547676411,-0.6020530684425429,15.973093876805297,8.017703289797739,0.18438283713084674,0.8040342057059219,0.009926146552076251,0.8375,1,1,5,1,12,1,0,0.4323429307331266,,1,1,0.2690644834881754,-0.14488087572442948,1,1,-0.11498482200349555,-0.7841964860638271,1,13,1,0.05519271456166949,0,1,1,1,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,2.4853,0,17,0,10,8,0.004576395915739248,0.006347162174593038,0.007451016465826637,0.014442093643639083,UP,0.005427283598565073,0.0009888694692298944,0.00820991629104975,0.0009888694692298944,0.00820991629104975,0.0009888694692298944,0.01752368687333289,0.0009888694692298944,NO_SETUP,,NO_SETUP
2026-08-10T17:45:00+00:00,PAXGUSD,15m,94,0.009203018590110109,0.023007546475243883,0.05291735689304419,0.08512792195839818,0.6216216216214555,0,1,0.1444331216657957,2.4787424059768455,0.23138024021556697,1.3895024592857226,,,,,0.0008694711854977127,,,,57.53014597382369,7.530145973823693,4.481709458392288,3.563035525753864,0.9186739326384239,-0.4719522835949004,15.716864242599291,7.5754686529378334,0.17429294710422039,0.7103310500101092,0.009462749271113981,0.8048780487804879,1,1,7,1,14,1,0,0.3865267807840805,,1,1,0.22317320080986147,-0.19096263574454933,1,1,-0.06902263942573164,-0.7385422418553161,1,15,1,0.009203018590089183,0,1,1,1,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,2.4503,0,17,0,10,8,0.005567826247009187,0.007454445057979144,0.009686177066077759,0.013942573163997876,UP,0.005889931897662517,2.300754647511833e-05,0.008673845021167111,2.300754647511833e-05,0.010031290263206417,2.300754647511833e-05,0.017991901343640884,2.300754647511833e-05,NO_SETUP,,NO_SETUP
2026-08-10T18:15:00+00:00,PAXGUSD,15m,96,0.05284926470588654,0.04365808823528576,0.036764705882340404,0.1332720588235127,0.6724137931034699,1,0,0.2281656659137396,2.60867575636712,0.33417367168338113,1.523950559302648,,,,,0.0010600800576964155,,,,61.71594977875324,11.715949778753242,4.948252473065622,4.016515859803933,0.9317366132616893,-0.2423118582932684,16.464863249364637,7.291092869114701,0.16753430305870176,0.7881405027405938,0.00956666491223913,0.6547619047619048,1,1,9,1,16,1,0,0.09306066176468916,,1,1,0.35156250000000416,-0.062040441176487306,1,1,-0.19761029411765543,-0.866268382352937,1,17,1,0.1585477941176387,0,1,1,1,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,1.3827,0,18,0,10,8,0.005836397058823446,0.006227022058823613,0.007605698529411849,0.012293198529411764,UP,0.007100183823529328,0.00016084558823525232,0.007375919117647143,0.00016084558823525232,0.008938419117646975,0.00016084558823525232,0.01668198529411773,0.00016084558823525232,NO_SETUP,,NO_SETUP
2026-08-10T18:45:00+00:00,PAXGUSD,15m,98,0.00915750915750083,0.002289377289385618,0.12362637362636529,0.13507326007325174,0.9152542372881304,0,1,0.4853504196041582,5.77490237652637,0.6452234039508663,2.953481465930963,,,,,0.0015987298434670815,,,,70.70143345937151,20.701433459371515,7.46440931545385,5.0896068943472095,2.37480242110664,1.492617698168056,20.601103154070728,8.081095382042738,0.18500676240940336,1.063322717636496,0.00932432831108939,0.8488372093023255,1,1,0,1,18,1,0,0.2232142857142857,,1,0,0.536858974358991,,1,0,-0.5631868131868215,-1.2293956043956002,1,19,1,0.5242673992673909,0,1,1,1,1,100,1,0,1,0,61,0,0,1,1,0,0,1,1,1.5,0,18,0,10,8,0.002152014652014569,0.002930402930402972,0.005563186813186855,0.007417582417582334,UP,0.003685897435897519,6.868131868136033e-05,0.003685897435897519,6.868131868136033e-05,0.005677655677655719,6.868131868136033e-05,0.012957875457875542,6.868131868136033e-05,NO_SETUP,,NO_SETUP
