timestamp,open,high,low,close,volume,source
2026-06-28T12:30:00+00:00,4077.7,4078.04,4075.99,4077.71,19.2984,real_binance
2026-06-28T12:45:00+00:00,4077.71,4077.72,4077.3,4077.3,2.0435,real_binance
2026-06-28T13:00:00+00:00,4076.67,4076.67,4074.54,4076.19,12.4316,real_binance
2026-06-28T13:15:00+00:00,4076.19,4076.2,4075.32,4075.32,7.0338,real_binance
2026-06-28T13:30:00+00:00,4075.33,4075.55,4074.42,4075.05,3.8856,real_binance
2026-06-28T13:45:00+00:00,4075.42,4075.99,4074.56,4075.69,14.7909,real_binance
2026-06-28T14:00:00+00:00,4075.7,4076.2,4075.51,4075.52,14.6392,real_binance
2026-06-28T14:15:00+00:00,4075.51,4075.82,4074.87,4075.13,8.1614,real_binance
2026-06-28T14:30:00+00:00,4075.13,4075.13,4073.0,4073.13,3.6898,real_binance
2026-06-28T14:45:00+00:00,4073.13,4073.14,4072.9,4073.13,3.0854,real_binance
2026-06-28T15:00:00+00:00,4073.14,4073.15,4072.68,4073.15,1.4659,real_binance
2026-06-28T15:15:00+00:00,4073.14,4073.77,4073.14,4073.76,3.979,real_binance
2026-06-28T15:30:00+00:00,4073.76,4074.67,4073.76,4074.27,4.8179,real_binance
2026-06-28T15:45:00+00:00,4074.27,4074.99,4073.85,4074.31,3.2768,real_binance
2026-06-28T16:00:00+00:00,4074.77,4074.98,4074.17,4074.18,5.864,real_binance
2026-06-28T16:15:00+00:00,4074.17,4074.47,4074.17,4074.18,8.5876,real_binance
2026-06-28T16:30:00+00:00,4074.18,4074.18,4072.96,4073.58,9.6634,real_binance
2026-06-28T16:45:00+00:00,4073.58,4073.58,4073.43,4073.5,11.8625,real_binance
2026-06-28T17:00:00+00:00,4073.5,4074.17,4071.75,4072.26,41.7554,real_binance
2026-06-28T17:15:00+00:00,4072.25,4074.76,4070.89,4074.75,34.3272,real_binance
2026-06-28T17:30:00+00:00,4074.75,4074.75,4071.55,4073.14,31.4834,real_binance
2026-06-28T17:45:00+00:00,4073.13,4075.48,4072.87,4074.48,25.9698,real_binance
2026-06-28T18:00:00+00:00,4074.48,4074.86,4073.11,4074.51,31.8005,real_binance
2026-06-28T18:15:00+00:00,4074.51,4074.86,4074.51,4074.61,19.8721,real_binance
2026-06-28T18:30:00+00:00,4074.61,4074.68,4073.86,4073.86,20.8874,real_binance
2026-06-28T18:45:00+00:00,4073.86,4074.46,4073.69,4073.69,21.5308,real_binance
2026-06-28T19:00:00+00:00,4073.69,4074.38,4073.31,4073.94,19.1248,real_binance
2026-06-28T19:15:00+00:00,4073.94,4074.38,4073.31,4074.37,19.2908,real_binance
2026-06-28T19:30:00+00:00,4074.37,4075.24,4072.47,4072.99,48.837,real_binance
2026-06-28T19:45:00+00:00,4072.99,4074.19,4071.58,4073.73,25.5562,real_binance
2026-06-28T20:00:00+00:00,4073.73,4075.72,4073.73,4075.52,15.8187,real_binance
2026-06-28T20:15:00+00:00,4075.52,4077.08,4075.52,4076.85,20.2466,real_binance
2026-06-28T20:30:00+00:00,4076.86,4077.07,4076.85,4076.96,15.8918,real_binance
2026-06-28T20:45:00+00:00,4076.97,4078.56,4076.96,4077.44,12.4181,real_binance
2026-06-28T21:00:00+00:00,4077.44,4077.45,4076.62,4076.62,8.2177,real_binance
2026-06-28T21:15:00+00:00,4076.62,4079.0,4075.43,4078.48,11.0084,real_binance
2026-06-28T21:30:00+00:00,4078.48,4079.0,4077.5,4077.51,11.6735,real_binance
2026-06-28T21:45:00+00:00,4077.5,4077.5,4072.41,4075.17,14.6908,real_binance
2026-06-28T22:00:00+00:00,4074.62,4081.64,4066.57,4067.16,212.86,real_binance
2026-06-28T22:15:00+00:00,4066.53,4066.53,4050.73,4055.29,53.0685,real_binance
2026-06-28T22:30:00+00:00,4054.96,4061.33,4053.05,4059.44,23.275,real_binance
2026-06-28T22:45:00+00:00,4059.44,4064.63,4058.11,4061.26,8.0226,real_binance
2026-06-28T23:00:00+00:00,4061.4,4065.73,4061.28,4062.38,9.0923,real_binance
2026-06-28T23:15:00+00:00,4061.98,4063.28,4052.19,4053.32,22.3092,real_binance
2026-06-28T23:30:00+00:00,4053.29,4059.25,4048.6,4058.86,53.3198,real_binance
2026-06-28T23:45:00+00:00,4059.3,4062.31,4058.09,4059.57,9.5641,real_binance
2026-06-29T00:00:00+00:00,4059.47,4061.62,4052.15,4055.16,22.1596,real_binance
2026-06-29T00:15:00+00:00,4056.61,4057.67,4046.0,4046.0,15.8766,real_binance
2026-06-29T00:30:00+00:00,4045.94,4064.97,4045.94,4064.72,32.5245,real_binance
2026-06-29T00:45:00+00:00,4064.96,4069.81,4059.86,4066.95,22.1216,real_binance
2026-06-29T01:00:00+00:00,4066.69,4070.46,4051.92,4052.19,45.8211,real_binance
2026-06-29T01:15:00+00:00,4052.61,4062.62,4052.61,4057.34,9.1386,real_binance
2026-06-29T01:30:00+00:00,4056.55,4062.72,4053.05,4059.44,9.6564,real_binance
2026-06-29T01:45:00+00:00,4059.56,4059.92,4052.89,4058.45,11.032,real_binance
2026-06-29T02:00:00+00:00,4058.46,4066.46,4056.47,4057.62,27.1044,real_binance
2026-06-29T02:15:00+00:00,4057.17,4066.43,4056.38,4065.59,19.4112,real_binance
2026-06-29T02:30:00+00:00,4065.59,4068.19,4056.21,4057.05,24.4523,real_binance
2026-06-29T02:45:00+00:00,4057.62,4066.06,4056.54,4062.56,17.2467,real_binance
2026-06-29T03:00:00+00:00,4062.9,4067.41,4062.44,4066.78,13.856,real_binance
2026-06-29T03:15:00+00:00,4066.18,4072.0,4065.01,4069.65,5.2088,real_binance
2026-06-29T03:30:00+00:00,4069.88,4070.17,4062.76,4064.73,17.6125,real_binance
2026-06-29T03:45:00+00:00,4064.73,4068.93,4063.15,4065.73,18.1138,real_binance
2026-06-29T04:00:00+00:00,4065.56,4065.61,4062.26,4063.33,6.7109,real_binance
2026-06-29T04:15:00+00:00,4062.97,4062.97,4060.33,4062.09,3.6277,real_binance
2026-06-29T04:30:00+00:00,4061.81,4061.81,4050.73,4054.13,10.1361,real_binance
2026-06-29T04:45:00+00:00,4054.53,4054.9,4047.52,4048.9,4.7681,real_binance
2026-06-29T05:00:00+00:00,4048.9,4053.61,4044.42,4052.43,18.4323,real_binance
2026-06-29T05:15:00+00:00,4052.43,4053.25,4044.99,4045.92,5.2675,real_binance
2026-06-29T05:30:00+00:00,4045.92,4048.8,4037.76,4047.89,54.3628,real_binance
2026-06-29T05:45:00+00:00,4047.9,4053.67,4045.22,4051.27,9.4742,real_binance
2026-06-29T06:00:00+00:00,4051.85,4059.77,4051.49,4055.38,6.7418,real_binance
2026-06-29T06:15:00+00:00,4055.76,4059.46,4053.15,4056.26,10.4984,real_binance
2026-06-29T06:30:00+00:00,4056.91,4057.15,4051.69,4057.15,13.7005,real_binance
2026-06-29T06:45:00+00:00,4057.41,4060.24,4057.14,4059.17,17.058,real_binance
2026-06-29T07:00:00+00:00,4059.18,4059.18,4053.01,4055.8,10.5637,real_binance
2026-06-29T07:15:00+00:00,4055.8,4062.12,4054.75,4062.11,17.5705,real_binance
2026-06-29T07:30:00+00:00,4062.11,4062.11,4057.35,4057.98,5.2612,real_binance
2026-06-29T07:45:00+00:00,4058.59,4063.97,4057.23,4057.68,7.3665,real_binance
2026-06-29T08:00:00+00:00,4057.13,4061.74,4057.13,4059.6,23.0169,real_binance
2026-06-29T08:15:00+00:00,4059.6,4060.96,4056.49,4057.75,7.7075,real_binance
2026-06-29T08:30:00+00:00,4057.76,4062.28,4051.46,4051.46,11.7747,real_binance
2026-06-29T08:45:00+00:00,4051.94,4053.65,4041.1,4044.52,21.581,real_binance
2026-06-29T09:00:00+00:00,4044.23,4051.6,4042.99,4046.48,5.8378,real_binance
2026-06-29T09:15:00+00:00,4046.48,4049.56,4042.61,4044.08,16.4269,real_binance
2026-06-29T09:30:00+00:00,4044.08,4046.69,4038.48,4040.25,37.0277,real_binance
2026-06-29T09:45:00+00:00,4040.25,4041.11,4023.6,4028.63,59.4373,real_binance
2026-06-29T10:00:00+00:00,4029.06,4036.49,4025.7,4035.96,21.4098,real_binance
2026-06-29T10:15:00+00:00,4035.66,4036.11,4030.46,4035.21,16.1808,real_binance
2026-06-29T10:30:00+00:00,4035.2,4035.86,4029.35,4032.63,17.3832,real_binance
2026-06-29T10:45:00+00:00,4032.17,4035.72,4030.28,4034.2,20.4922,real_binance
2026-06-29T11:00:00+00:00,4034.21,4035.28,4029.95,4031.17,11.1888,real_binance
2026-06-29T11:15:00+00:00,4031.51,4032.92,4025.37,4029.59,17.7945,real_binance
2026-06-29T11:30:00+00:00,4029.58,4036.11,4028.1,4032.3,86.7691,real_binance
