timestamp,symbol,timeframe,index,f_body_size_pct,f_upper_wick_pct,f_lower_wick_pct,f_range_pct,f_close_position_in_range,f_bullish_candle,f_bearish_candle,f_ema20_distance_pct,f_ema20_slope,f_ema50_distance_pct,f_ema50_slope,f_ema100_distance_pct,f_ema100_slope,f_ema200_distance_pct,f_ema200_slope,f_ema20_vs_50,f_ema50_vs_100,f_ema100_vs_200,f_ema_alignment,f_rsi,f_rsi_distance_from_50,f_macd,f_macd_signal,f_macd_histogram,f_macd_histogram_slope,f_adx,f_atr,f_atr_pct,f_bb_position,f_bb_width,f_atr_percentile,f_structure_bias,f_last_bos_direction,f_last_bos_age,f_last_choch_direction,f_last_choch_age,f_bullish_fvg_present,f_bearish_fvg_present,f_nearest_bullish_fvg_distance_pct,f_nearest_bearish_fvg_distance_pct,f_bullish_ob_present,f_bearish_ob_present,f_nearest_bullish_ob_distance_pct,f_nearest_bearish_ob_distance_pct,f_demand_present,f_supply_present,f_buy_side_liquidity_distance_pct,f_sell_side_liquidity_distance_pct,f_liquidity_sweep_direction,f_liquidity_sweep_age,f_premium_discount_state,f_distance_from_equilibrium_pct,f_htf_1d_bias,f_htf_4h_bias,f_htf_1h_bias,f_htf_30m_bias,f_entry_15m_bias,f_mtf_alignment_score,f_higher_timeframe_bias,f_setup_bias,f_entry_bias,f_market_state_code,f_hour_utc,f_day_of_week,f_day_of_month,f_month,y_tb_horizon,y_tb_atr_mult,y_return_8,y_mfe_8,y_mae_8,y_direction,y_tb_atr
2026-02-20T09:45:00+00:00,PAXGUSD,15m,80,0.09338366779256542,0.04371150407311381,0.00794754619510503,0.14504271806078428,0.05479452054790083,0,1,0.15252658742859238,3.8340494058838885,0.34688755781903746,2.658416811677853,,,,,0.0019436097039044508,,,,59.05806520824794,9.058065208247939,7.312528755436688,6.289788685273933,1.0227400701627545,-0.5914957544089239,24.96098058614596,8.384727272815459,0.16659501833529622,0.7077300790522357,0.007995041213042946,0.5882352941176471,1,1,3,1,19,1,0,0.020266242797544933,,1,0,0.3027021657063497,,1,0,-0.39260878203854993,,,,1,0.06954102920723226,0,0,0,0,1,25,0,0,1,0,9,4,20,2,8,1.0,-0.0015895092390224518,0.0023047883965826273,0.001967017683290212,UP,8.384727272815459
2026-02-20T10:00:00+00:00,PAXGUSD,15m,81,0.0457201924223606,0.011927006718887682,0.10535522601678093,0.1630024251580292,0.6463414634146707,0,1,0.09490167769474335,2.6879494624663494,0.2876060035978254,2.232596544552507,,,,,0.0019270432590308207,,,,56.77573485042073,6.775734850420733,6.823687069710104,6.396568362161168,0.427118707548936,-1.2824439824302312,24.07084270224828,8.371532467614342,0.1664122066476035,0.628748791756325,0.007503184451640867,0.5652173913043478,1,1,4,1,20,1,1,0.09044646761819844,-0.0765316264461387,1,0,0.2551385520614031,,1,0,-0.345088061066286,,,,1,0.02186617898462139,0,0,0,0,1,25,0,0,1,0,10,4,20,2,8,1.0,-0.00023854013437775364,0.0027829682344054384,0.0017691726633007087,UP,8.371532467614342
2026-02-20T10:15:00+00:00,PAXGUSD,15m,82,0.019874788830368677,0.07353671867236049,0.03577461989466723,0.1291861273973964,0.43076923076925877,1,0,0.10203182063866659,1.8510018946126365,0.2934637560750049,1.90582805260874,,,,,0.0019143193543633835,,,,57.43996294443304,7.4399629444330415,6.4347235031746095,6.404199390363856,0.0305241128107534,-1.5211130355051123,23.429491715146835,8.23785157707046,0.16372556051019496,0.633439612988538,0.006902375203206795,0.5,1,1,5,1,21,1,1,0.10831759912552374,-0.05863062704958398,1,0,0.27298022458512533,,1,0,-0.3629136440425364,,,,1,0.039749577660737355,0,0,0,0,1,25,0,0,1,0,10,4,20,2,8,1.0,-0.0022458511378316967,0.002603597336778369,0.0023054755043228387,UP,8.23785157707046
2026-02-20T10:30:00+00:00,PAXGUSD,15m,83,0.14091215813917285,0.0793871313460088,0.0,0.22029928948518168,0.6396396396396514,1,0,0.21967637462906348,2.2080493332214246,0.4169442552353837,2.050697540742476,,,,,0.0019726788060632017,,,,62.35470620020929,12.354706200209293,6.623031552149769,6.447965822721039,0.1750657294287299,-0.8476743407340246,23.5736726496802,8.442290750136882,0.16755231116057798,0.8239051834063551,0.006262568021431765,0.676056338028169,1,1,6,1,22,1,0,0.24907712459812428,,1,0,0.41350772039854217,,1,0,-0.5033144127337074,,,,1,0.03870122653119373,0,0,0,0,1,25,0,0,1,0,10,4,20,2,8,1.0,-0.0012701941015362491,0.001190806970190132,0.0045250664867225385,DOWN,8.442290750136882
2026-02-20T10:45:00+00:00,PAXGUSD,15m,84,0.07139882191944553,0.04958251522183217,0.13684774201224958,0.25782907915352726,0.8076923076923077,1,0,0.26142136773051844,3.0929970157712887,0.46700877006592195,2.421258421498351,,,,,0.002055874023354036,,,,64.52922843331172,14.529228433311715,6.974292484513171,6.553231155079466,0.4210613294337051,-0.0060573781152308825,23.89011720699031,8.76784141084139,0.17389265208626145,0.8893380549948506,0.006375686427087772,0.75,1,1,7,1,23,1,0,0.31831974772418414,,1,0,0.4826362031693331,,1,0,-0.5723805557208421,,,,1,0.10808988318360856,0,0,0,0,1,25,0,0,1,0,10,4,20,2,8,1.0,-0.0018841355784296224,-5.9499018266234676e-05,0.00521608060133678,DOWN,8.76784141084139
2026-02-20T11:00:00+00:00,PAXGUSD,15m,85,0.05557099194219172,0.00793871313461171,0.01786210455286281,0.08137180962966624,0.21951219512206485,0,1,0.17384024744635296,3.4746163476029324,0.38226670907619686,2.604738483400979,,,,,0.0020842646162984395,,,,60.75015578482487,10.75015578482487,6.890815522866433,6.62074802863686,0.2700674942295729,0.23954338141881948,24.183958581635416,8.455852738638473,0.1678214730012002,0.7534062528524565,0.006420924180724194,0.6712328767123288,1,1,8,1,24,1,0,0.24907712459812428,,1,0,0.41350772039854217,,1,0,-0.5033144127337074,,,,1,0.03870122653119373,0,0,0,0,1,25,0,0,1,0,11,4,20,2,8,1.0,-0.0006747906164411831,0.0001786210455284476,0.0045250664867225385,DOWN,8.455852738638473
2026-02-20T11:15:00+00:00,PAXGUSD,15m,86,0.06355511420059222,0.011916583912618944,0.04568023833168186,0.12115193644489303,0.3770491803278762,0,1,0.09270646375260018,2.800843362116211,0.29884285677595407,2.3614154056203915,,,,,0.002061363930233539,,,,57.04933147800386,7.049331478003857,6.4597060455325845,6.588539632016005,-0.12883358648342025,-0.30389931591215014,23.630148431345336,8.287577543021465,0.16459935537281956,0.630606265474182,0.006453097782461288,0.5,1,1,9,1,25,1,0,0.17775571002980592,,1,0,0.34230387288978315,,1,0,-0.43217477656405595,,,,0,0.0009930486593698591,0,0,0,0,1,25,0,0,1,0,11,4,20,2,8,1.0,0.0008738828202581204,0.0013108242303873612,0.0038133068520357135,DOWN,8.287577543021465
2026-02-20T11:30:00+00:00,PAXGUSD,15m,87,0.02383884937819973,0.08939568516826255,0.06754340657158699,0.18077794111804923,0.37362637362641865,0,1,0.062328789335435515,1.7436201847731354,0.2642879834650442,1.9433206838302794,,,,,0.0020195919412960865,,,,55.828459447298656,5.8284594472986555,5.952600830577467,6.461351871728297,-0.5087510411508305,-0.9298123705845356,22.759374287737646,8.345607718519958,0.16579140447614044,0.590449853360677,0.006471957129114758,0.5466666666666666,1,1,10,1,26,1,0,0.15395923556758132,,1,0,0.31854662481625734,,1,0,-0.40843895267989194,,,,-1,-0.02284556398745571,0,0,0,0,1,25,0,0,1,0,11,4,20,2,8,1.0,0.0015296595017680117,0.0017084508721044646,0.003575827406730502,DOWN,8.345607718519958
2026-02-20T11:45:00+00:00,PAXGUSD,15m,88,0.17512437810945636,0.02189054726367073,0.0378109452736246,0.2348258706467517,0.16101694915252146,0,1,-0.10195439435794731,0.2823230243184298,0.08611167576685631,1.3337786962283644,,,,,0.0018806607012480363,,,,47.75714844546513,-2.242851554534873,4.78546596608976,6.126174690600591,-1.3407087245108311,-1.610776218740404,21.333917192825474,8.59235002433991,0.17099204028537132,0.3234883350044858,0.0065090723843135,0.7105263157894737,-1,1,11,-1,0,1,0,0.05472636815920398,,1,0,0.14398009950249915,,1,0,-0.234029850746273,,,,-1,-0.19800995024877072,0,0,0,0,1,25,0,0,1,0,11,4,20,2,8,1.0,0.006029850746268693,0.006786069651741366,0.0018308457711442424,DOWN,8.59235002433991
2026-02-20T12:00:00+00:00,PAXGUSD,15m,89,0.08549727601700546,0.023859704934996773,0.06760249731579406,0.1769594782677963,0.8651685393257692,1,0,-0.013010127131770672,-0.2778982160916712,0.1667171438439695,1.0618658061803217,,,,,0.0017972727097574019,,,,51.5303742185698,1.530374218569797,4.167505990026257,5.734440950485724,-1.5669349604594673,-1.438101373976047,20.18882083058986,8.614325022601383,0.17127937771108648,0.4559454266363113,0.0064972710825449125,0.7142857142857143,-1,1,12,-1,1,1,0,0.14216407523759567,,1,0,0.23133972243210363,,1,0,-0.32131069312442545,,,,-1,-0.11035113532431487,0,0,0,0,1,25,0,0,1,0,12,4,20,2,8,1.0,0.00507018729868374,0.0059052769714082656,0.0027040998926312195,DOWN,8.614325022601383
